ensembl_gene_id,external_gene_name
ENSMUSG00000001588,Acap1
ENSMUSG00000001627,Ifrd1
ENSMUSG00000001630,Stk38l
ENSMUSG00000001632,Brpf1
ENSMUSG00000001642,Akr1b1
ENSMUSG00000001663,Gstt1
ENSMUSG00000001666,Ddt
ENSMUSG00000001674,Ddx18
ENSMUSG00000001687,Ubl3
ENSMUSG00000001707,Eef1e1
ENSMUSG00000001729,Akt1
ENSMUSG00000001739,Cldn15
ENSMUSG00000001741,Il16
ENSMUSG00000001750,Tcirg1
ENSMUSG00000001751,Naglu
ENSMUSG00000001755,Coasy
ENSMUSG00000001761,Smo
ENSMUSG00000001763,Tspan33
ENSMUSG00000001767,Crnkl1
ENSMUSG00000001768,Rin2
ENSMUSG00000001774,Chordc1
ENSMUSG00000001783,Rtcb
ENSMUSG00000001785,Pwp1
ENSMUSG00000001786,Fbxo7
ENSMUSG00000001794,Capns1
ENSMUSG00000001829,Clpb
ENSMUSG00000001833,Septin7
ENSMUSG00000001844,Zdhhc4
ENSMUSG00000001847,Rac1
ENSMUSG00000001855,Nup214
ENSMUSG00000001865,Cpa3
ENSMUSG00000001870,Ltbp1
ENSMUSG00000001891,Ugp2
ENSMUSG00000001901,Kcnh6
ENSMUSG00000001909,Trmt1
ENSMUSG00000001910,Nacc1
ENSMUSG00000001911,Nfix
ENSMUSG00000001918,Slc1a5
ENSMUSG00000001924,Uba1
ENSMUSG00000001930,Vwf
ENSMUSG00000001942,Siae
ENSMUSG00000001946,Esam
ENSMUSG00000001948,Spa17
ENSMUSG00000001962,Fam50a
ENSMUSG00000001964,Emd
ENSMUSG00000001983,Taco1
ENSMUSG00000001986,Gria3
ENSMUSG00000001988,Npas1
ENSMUSG00000001995,Sipa1l2
ENSMUSG00000001998,Ap4e1
ENSMUSG00000001999,Blvra
ENSMUSG00000002006,Pdzd4
ENSMUSG00000002010,Idh3g
ENSMUSG00000002014,Ssr4
ENSMUSG00000002015,Bcap31
ENSMUSG00000002017,Fam98a
ENSMUSG00000002020,Ltbp2
ENSMUSG00000002028,Kmt2a
ENSMUSG00000002031,Ift46
ENSMUSG00000002032,Tmem25
ENSMUSG00000002043,Trappc6a
ENSMUSG00000002052,Supt6
ENSMUSG00000002055,Spag5
ENSMUSG00000002058,Unc119
ENSMUSG00000002059,Rab34
ENSMUSG00000002064,Sdf2
ENSMUSG00000002068,Ccne1
ENSMUSG00000002083,Bbc3
ENSMUSG00000002102,Psmc3
ENSMUSG00000002103,Acp2
ENSMUSG00000002105,Slc39a13
ENSMUSG00000002107,Celf2
ENSMUSG00000002108,Nr1h3
ENSMUSG00000002109,Ddb2
ENSMUSG00000002111,Spi1
ENSMUSG00000002129,Sf3a1
ENSMUSG00000002147,Stat6
ENSMUSG00000002190,Clgn
ENSMUSG00000002204,Napsa
ENSMUSG00000002205,Vrk3
ENSMUSG00000002210,Smg9
ENSMUSG00000002221,Paxip1
ENSMUSG00000002222,Rmnd5a
ENSMUSG00000002227,Mov10
ENSMUSG00000002233,Rhoc
ENSMUSG00000002249,Tead3
ENSMUSG00000002250,Ppard
ENSMUSG00000002257,Def6
ENSMUSG00000002265,Peg3
ENSMUSG00000002266,Zim1
ENSMUSG00000002274,Metrn
ENSMUSG00000002279,Lmf1
ENSMUSG00000002280,Ciao3
ENSMUSG00000002289,Angptl4
ENSMUSG00000002297,Dbf4
ENSMUSG00000002307,Daxx
ENSMUSG00000002308,Cd320
ENSMUSG00000002319,Ipo4
ENSMUSG00000002320,Tm9sf1
ENSMUSG00000002324,Rec8
ENSMUSG00000002325,Irf9
ENSMUSG00000002326,Gmpr2
ENSMUSG00000002329,Mdp1
ENSMUSG00000002332,Dhrs1
ENSMUSG00000002342,Tmem161a
ENSMUSG00000002343,Armc6
ENSMUSG00000002345,Borcs8
ENSMUSG00000002346,Slc25a42
ENSMUSG00000002365,Snx9
ENSMUSG00000002372,Ranbp3
ENSMUSG00000002379,Ndufa11
ENSMUSG00000002393,Nr2f6
ENSMUSG00000002395,Use1
ENSMUSG00000002396,Ocel1
ENSMUSG00000002409,Dyrk1b
ENSMUSG00000002413,Braf
ENSMUSG00000002416,Ndufb2
ENSMUSG00000002428,Hltf
ENSMUSG00000002455,Prpf6
ENSMUSG00000002458,Rgs19
ENSMUSG00000002477,Snrpd1
ENSMUSG00000002486,Tchp
ENSMUSG00000002489,Tiam1
ENSMUSG00000002496,Tsc2
ENSMUSG00000002504,Nherf2
ENSMUSG00000002524,Puf60
ENSMUSG00000002546,Golga2
ENSMUSG00000002550,Uck1
ENSMUSG00000002578,Ikzf4
ENSMUSG00000002580,Mien1
ENSMUSG00000002602,Axl
ENSMUSG00000002603,Tgfb1
ENSMUSG00000002608,Ccdc97
ENSMUSG00000002617,Zfp40
ENSMUSG00000002625,Akap8l
ENSMUSG00000002635,Pdcd2l
ENSMUSG00000002658,Gtf2f1
ENSMUSG00000002660,Clpp
ENSMUSG00000002661,Alkbh7
ENSMUSG00000002664,Pspn
ENSMUSG00000002668,Dennd1c
ENSMUSG00000002679,Med6
ENSMUSG00000002688,Prkd1
ENSMUSG00000002699,Lcp2
ENSMUSG00000002718,Cse1l
ENSMUSG00000002728,Naa20
ENSMUSG00000002731,Prkra
ENSMUSG00000002732,Fkbp7
ENSMUSG00000002733,Plekha3
ENSMUSG00000002741,Ykt6
ENSMUSG00000002748,Baz1b
ENSMUSG00000002763,Pex6
ENSMUSG00000002767,Mrpl2
ENSMUSG00000002768,Mea1
ENSMUSG00000002769,Gnmt
ENSMUSG00000002778,Kdelr1
ENSMUSG00000002781,Tmem143
ENSMUSG00000002791,Pdxk-ps
ENSMUSG00000002797,Ggct
ENSMUSG00000002799,Jag2
ENSMUSG00000002803,Btbd6
ENSMUSG00000002804,Nudt14
ENSMUSG00000002808,Epdr1
ENSMUSG00000002812,Flii
ENSMUSG00000002814,Top3a
ENSMUSG00000002820,Atg4d
ENSMUSG00000002825,Qtrt1
ENSMUSG00000002833,Hdgfl2
ENSMUSG00000002835,Chaf1a
ENSMUSG00000002844,Adprh
ENSMUSG00000002845,Tmem39a
ENSMUSG00000002846,Timmdc1
ENSMUSG00000002870,Mcm2
ENSMUSG00000002871,Tpra1
ENSMUSG00000002881,Nab1
ENSMUSG00000002885,Adgre5
ENSMUSG00000002897,Il17ra
ENSMUSG00000002900,Lamb1
ENSMUSG00000002908,Kcnn1
ENSMUSG00000002910,Arrdc2
ENSMUSG00000002944,Cd36
ENSMUSG00000002948,Map2k7
ENSMUSG00000002949,Timm44
ENSMUSG00000002957,Ap2a2
ENSMUSG00000002963,Pnkp
ENSMUSG00000002968,Med25
ENSMUSG00000002981,Clptm1
ENSMUSG00000002983,Relb
ENSMUSG00000002984,Tomm40
ENSMUSG00000002985,Apoe
ENSMUSG00000002992,Apoc2
ENSMUSG00000002996,Hbp1
ENSMUSG00000002997,Prkar2b
ENSMUSG00000003031,Cdkn1b
ENSMUSG00000003032,Klf4
ENSMUSG00000003033,Ap1m1
ENSMUSG00000003037,Rab8a
ENSMUSG00000003038,Hmgn2
ENSMUSG00000003039,Fam32a
ENSMUSG00000003062,Stard3nl
ENSMUSG00000003068,Stk11
ENSMUSG00000003072,Atp5f1d
ENSMUSG00000003099,Ppp5c
ENSMUSG00000003119,Cdk12
ENSMUSG00000003123,Lipe
ENSMUSG00000003131,Pafah1b2
ENSMUSG00000003134,Tbc1d8
ENSMUSG00000003135,Cnot11
ENSMUSG00000003153,Slc2a3
ENSMUSG00000003154,Foxj2
ENSMUSG00000003161,Sri
ENSMUSG00000003166,Dgcr2
ENSMUSG00000003184,Irf3
ENSMUSG00000003190,Bcl2l12
ENSMUSG00000003198,Zfp959
ENSMUSG00000003199,Mpnd
ENSMUSG00000003200,Sh3gl1
ENSMUSG00000003206,Ebi3
ENSMUSG00000003208,Yju2
ENSMUSG00000003226,Ranbp2
ENSMUSG00000003228,Grk5
ENSMUSG00000003233,Dvl3
ENSMUSG00000003234,Abcf3
ENSMUSG00000003235,Eif2b5
ENSMUSG00000003269,Cyth2
ENSMUSG00000003282,Plag1
ENSMUSG00000003283,Hck
ENSMUSG00000003299,Mrpl4
ENSMUSG00000003308,Keap1
ENSMUSG00000003316,Glg1
ENSMUSG00000003341,Atp8b3
ENSMUSG00000003344,Btbd2
ENSMUSG00000003345,Csnk1g2
ENSMUSG00000003346,Abhd17a
ENSMUSG00000003348,Mob3a
ENSMUSG00000003355,Fkbp11
ENSMUSG00000003360,Ddx23
ENSMUSG00000003363,Pld3
ENSMUSG00000003378,Grik5
ENSMUSG00000003380,Rabac1
ENSMUSG00000003382,Etv3
ENSMUSG00000003402,Prkcsh
ENSMUSG00000003411,Rab3b
ENSMUSG00000003420,Fcgrt
ENSMUSG00000003421,Nosip
ENSMUSG00000003423,Pih1d1
ENSMUSG00000003429,Rps11
ENSMUSG00000003435,Supt5
ENSMUSG00000003437,Paf1
ENSMUSG00000003438,Timm50
ENSMUSG00000003444,Med29
ENSMUSG00000003452,Bicd1
ENSMUSG00000003458,Ncstn
ENSMUSG00000003464,Pex19
ENSMUSG00000003469,Phyhip
ENSMUSG00000003500,Impdh1
ENSMUSG00000003518,Dusp3
ENSMUSG00000003526,Prodh
ENSMUSG00000003527,Ess2
ENSMUSG00000003528,Slc25a1
ENSMUSG00000003531,Dgcr6
ENSMUSG00000003541,Ier3
ENSMUSG00000003545,Fosb
ENSMUSG00000003546,Klc4
ENSMUSG00000003549,Ercc1
ENSMUSG00000003559,As3mt
ENSMUSG00000003573,Homer3
ENSMUSG00000003575,Crtc1
ENSMUSG00000003581,Rnf215
ENSMUSG00000003585,Sec14l2
ENSMUSG00000003604,Aven
ENSMUSG00000003623,Crot
ENSMUSG00000003644,Rps6ka1
ENSMUSG00000003660,Snrnp200
ENSMUSG00000003662,Ciao1
ENSMUSG00000003680,Taf6l
ENSMUSG00000003721,Insig2
ENSMUSG00000003731,Kpna6
ENSMUSG00000003746,Man1a
ENSMUSG00000003752,Itpkc
ENSMUSG00000003762,Coq8b
ENSMUSG00000003778,Brd8
ENSMUSG00000003779,Kif20a
ENSMUSG00000003808,Farsa
ENSMUSG00000003809,Gcdh
ENSMUSG00000003810,Mast2
ENSMUSG00000003812,Dnase2a
ENSMUSG00000003813,Rad23a
ENSMUSG00000003814,Calr
ENSMUSG00000003824,Syce2
ENSMUSG00000003847,Nfat5
ENSMUSG00000003848,Nob1
ENSMUSG00000003849,Nqo1
ENSMUSG00000003863,Ppfia3
ENSMUSG00000003865,Gys1
ENSMUSG00000003868,Ruvbl2
ENSMUSG00000003872,Lin7b
ENSMUSG00000003873,Bax
ENSMUSG00000003923,Tfam
ENSMUSG00000003929,Zfp81
ENSMUSG00000003934,Efnb3
ENSMUSG00000003948,Mmd
ENSMUSG00000003949,Hlf
ENSMUSG00000003955,Fam162a
ENSMUSG00000003970,Rpl8
ENSMUSG00000003992,Ssbp2
ENSMUSG00000004018,Fancl
ENSMUSG00000004032,Gstm5
ENSMUSG00000004040,Stat3
ENSMUSG00000004043,Stat5a
ENSMUSG00000004044,Cavin1
ENSMUSG00000004054,Map3k11
ENSMUSG00000004056,Akt2
ENSMUSG00000004069,Dnaja3
ENSMUSG00000004070,Hmox2
ENSMUSG00000004071,Cdip1
ENSMUSG00000004085,Map3k20
ENSMUSG00000004096,Cwc15
ENSMUSG00000004099,Dnmt1
ENSMUSG00000004100,Ppan
ENSMUSG00000004110,Cacna1e
ENSMUSG00000004127,Trmt10a
ENSMUSG00000004187,Kifc2
ENSMUSG00000004207,Psap
ENSMUSG00000004221,Ikbkg
ENSMUSG00000004233,Wars2
ENSMUSG00000004263,Atn1
ENSMUSG00000004264,Phb2
ENSMUSG00000004266,Ptpn6
ENSMUSG00000004268,Emg1
ENSMUSG00000004270,Lpcat3
ENSMUSG00000004285,Atp6v1f
ENSMUSG00000004317,Clcn5
ENSMUSG00000004319,Clcn3
ENSMUSG00000004328,Hif3a
ENSMUSG00000004347,Pde1c
ENSMUSG00000004356,Utp20
ENSMUSG00000004359,Spic
ENSMUSG00000004364,Cul3
ENSMUSG00000004393,Ddx56
ENSMUSG00000004394,Tmed4
ENSMUSG00000004446,Bid
ENSMUSG00000004451,Ralb
ENSMUSG00000004455,Ppp1cc
ENSMUSG00000004460,Dnajb11
ENSMUSG00000004462,Tbccd1
ENSMUSG00000004500,Zfp324
ENSMUSG00000004508,Gab2
ENSMUSG00000004530,Coro1c
ENSMUSG00000004535,Tax1bp1
ENSMUSG00000004552,Ctse
ENSMUSG00000004558,Ndrg2
ENSMUSG00000004561,Mettl17
ENSMUSG00000004562,Arhgef40
ENSMUSG00000004565,Pnpla6
ENSMUSG00000004567,Mcoln1
ENSMUSG00000004568,Arhgef18
ENSMUSG00000004591,Pkn2
ENSMUSG00000004609,Cd33
ENSMUSG00000004610,Etfb
ENSMUSG00000004612,Nkg7
ENSMUSG00000004626,Stxbp2
ENSMUSG00000004631,Sgce
ENSMUSG00000004633,Chn2
ENSMUSG00000004637,Wwox
ENSMUSG00000004642,Slbp
ENSMUSG00000004655,Aqp1
ENSMUSG00000004661,Arid3b
ENSMUSG00000004665,Cnn2
ENSMUSG00000004667,Polr2e
ENSMUSG00000004677,Myo9b
ENSMUSG00000004707,Ly9
ENSMUSG00000004730,Adgre1
ENSMUSG00000004748,Mtfp1
ENSMUSG00000004768,Rab23
ENSMUSG00000004771,Rab11a
ENSMUSG00000004788,Eif2b2
ENSMUSG00000004789,Dlst
ENSMUSG00000004798,Ulk2
ENSMUSG00000004814,Ccl24
ENSMUSG00000004815,Dgkq
ENSMUSG00000004837,Grap
ENSMUSG00000004843,Chmp2b
ENSMUSG00000004846,Plod3
ENSMUSG00000004849,Ap1s1
ENSMUSG00000004865,Srpk1
ENSMUSG00000004880,Lbr
ENSMUSG00000004891,Nes
ENSMUSG00000004895,Prcc
ENSMUSG00000004896,Mettl25b
ENSMUSG00000004897,Hdgf
ENSMUSG00000004902,Slc25a18
ENSMUSG00000004929,Thop1
ENSMUSG00000004931,Apba3
ENSMUSG00000004933,Matk
ENSMUSG00000004934,Pias4
ENSMUSG00000004936,Map2k1
ENSMUSG00000004937,Sgta
ENSMUSG00000004945,Tmem242
ENSMUSG00000004947,Dtx2
ENSMUSG00000004961,Syt5
ENSMUSG00000004980,Hnrnpa2b1
ENSMUSG00000004994,Yju2b
ENSMUSG00000004996,Mri1
ENSMUSG00000005034,Prkacb
ENSMUSG00000005043,Sgsh
ENSMUSG00000005045,Chd5
ENSMUSG00000005054,Cstb
ENSMUSG00000005057,Sh2b2
ENSMUSG00000005069,Pex5
ENSMUSG00000005078,Jkamp
ENSMUSG00000005087,Cd44
ENSMUSG00000005102,Eif2ak4
ENSMUSG00000005103,Wdr1
ENSMUSG00000005107,Slc2a9
ENSMUSG00000005125,Ndrg1
ENSMUSG00000005131,4930550C14Rik
ENSMUSG00000005142,Man2b1
ENSMUSG00000005148,Klf5
ENSMUSG00000005150,Wdr83
ENSMUSG00000005161,Prdx2
ENSMUSG00000005198,Polr2a
ENSMUSG00000005202,Shbg
ENSMUSG00000005204,Senp3
ENSMUSG00000005225,Plekha8
ENSMUSG00000005233,Spc25
ENSMUSG00000005262,Ufd1
ENSMUSG00000005299,Letm1
ENSMUSG00000005312,Ubqln1
ENSMUSG00000005320,Fgfr4
ENSMUSG00000005338,Cadm3
ENSMUSG00000005354,Txn2
ENSMUSG00000005360,Slc1a3
ENSMUSG00000005362,Crbn
ENSMUSG00000005370,Msh6
ENSMUSG00000005371,Fbxo11
ENSMUSG00000005373,Mlxipl
ENSMUSG00000005374,Tbl2
ENSMUSG00000005378,Bud23
ENSMUSG00000005397,Nid1
ENSMUSG00000005410,Mcm5
ENSMUSG00000005413,Hmox1
ENSMUSG00000005417,Mprip
ENSMUSG00000005442,Cic
ENSMUSG00000005447,Pafah1b3
ENSMUSG00000005469,Prkaca
ENSMUSG00000005470,Asf1b
ENSMUSG00000005481,Ddx39a
ENSMUSG00000005483,Dnajb1
ENSMUSG00000005493,Msh4
ENSMUSG00000005501,Usp40
ENSMUSG00000005505,Kbtbd4
ENSMUSG00000005506,Celf1
ENSMUSG00000005510,Ndufs3
ENSMUSG00000005514,Por
ENSMUSG00000005533,Igf1r
ENSMUSG00000005534,Insr
ENSMUSG00000005566,Trim28
ENSMUSG00000005575,Ube2m
ENSMUSG00000005580,Adcy9
ENSMUSG00000005583,Mef2c
ENSMUSG00000005609,Ctr9
ENSMUSG00000005610,Eif4g2
ENSMUSG00000005611,Irag1
ENSMUSG00000005615,Pcyt1a
ENSMUSG00000005621,Zfp592
ENSMUSG00000005625,Psmd4
ENSMUSG00000005628,Tmod4
ENSMUSG00000005656,Snx6
ENSMUSG00000005667,Mthfd2
ENSMUSG00000005672,Kit
ENSMUSG00000005674,Tomm40l
ENSMUSG00000005681,Apoa2
ENSMUSG00000005682,Pan2
ENSMUSG00000005683,Cs
ENSMUSG00000005686,Ampd3
ENSMUSG00000005687,Bcas2
ENSMUSG00000005698,Ctcf
ENSMUSG00000005699,Pard6a
ENSMUSG00000005718,Tfap4
ENSMUSG00000005732,Ranbp1
ENSMUSG00000005763,Cd247
ENSMUSG00000005774,Rfx5
ENSMUSG00000005779,Psmb4
ENSMUSG00000005803,Sqor
ENSMUSG00000005804,Bloc1s6
ENSMUSG00000005813,Metap1
ENSMUSG00000005823,Gpr108
ENSMUSG00000005836,Gata6
ENSMUSG00000005846,Rsl1d1
ENSMUSG00000005871,Apc
ENSMUSG00000005873,Reep5
ENSMUSG00000005881,Ergic3
ENSMUSG00000005882,Uqcc1
ENSMUSG00000005886,Ncoa2
ENSMUSG00000005893,Nr2c2
ENSMUSG00000005897,Nr2c1
ENSMUSG00000005899,Smpd4
ENSMUSG00000005907,Pex1
ENSMUSG00000005936,Kctd20
ENSMUSG00000005947,Itgae
ENSMUSG00000005949,Ctns
ENSMUSG00000005951,Shpk
ENSMUSG00000005968,Tuft1
ENSMUSG00000005973,Rcn1
ENSMUSG00000005980,Dnase1
ENSMUSG00000005981,Trap1
ENSMUSG00000005982,Naa60
ENSMUSG00000005983,1700037C18Rik
ENSMUSG00000005986,Ankrd13d
ENSMUSG00000006005,Tpr
ENSMUSG00000006010,Odr4
ENSMUSG00000006014,Prg4
ENSMUSG00000006019,Dhx34
ENSMUSG00000006021,Kptn
ENSMUSG00000006024,Napa
ENSMUSG00000006050,Sra1
ENSMUSG00000006057,Atp5mc1
ENSMUSG00000006058,Snf8
ENSMUSG00000006095,Tbcb
ENSMUSG00000006127,Inpp5k
ENSMUSG00000006134,Crkl
ENSMUSG00000006154,Eps8l1
ENSMUSG00000006169,Clint1
ENSMUSG00000006191,Cdkal1
ENSMUSG00000006215,Zbtb17
ENSMUSG00000006235,Epor
ENSMUSG00000006262,Mob1b
ENSMUSG00000006273,Atp6v1b2
ENSMUSG00000006276,Eps15l1
ENSMUSG00000006281,Tep1
ENSMUSG00000006288,Ttc5
ENSMUSG00000006289,Osgep
ENSMUSG00000006299,Aamp
ENSMUSG00000006301,Tmbim1
ENSMUSG00000006304,Arpc2
ENSMUSG00000006307,Kmt2b
ENSMUSG00000006310,Zbtb32
ENSMUSG00000006315,Tmem147
ENSMUSG00000006333,Rps9
ENSMUSG00000006335,Tfpt
ENSMUSG00000006342,Susd2
ENSMUSG00000006345,Ggt1
ENSMUSG00000006356,Crip2
ENSMUSG00000006360,Crip1
ENSMUSG00000006362,Cbfa2t3
ENSMUSG00000006369,Fbln1
ENSMUSG00000006373,Pgrmc1
ENSMUSG00000006378,Gcat
ENSMUSG00000006386,Tek
ENSMUSG00000006389,Mpl
ENSMUSG00000006390,Elovl1
ENSMUSG00000006392,Med8
ENSMUSG00000006395,Hyi
ENSMUSG00000006398,Cdc20
ENSMUSG00000006412,Pfdn2
ENSMUSG00000006418,Rnf114
ENSMUSG00000006423,Steep1
ENSMUSG00000006442,Srm
ENSMUSG00000006445,Epha2
ENSMUSG00000006456,Rbm14
ENSMUSG00000006457,Actn3
ENSMUSG00000006463,Zdhhc24
ENSMUSG00000006464,Bbs1
ENSMUSG00000006471,Ndor1
ENSMUSG00000006476,Nsmf
ENSMUSG00000006494,Pdk1
ENSMUSG00000006498,Ptbp1
ENSMUSG00000006517,Mvd
ENSMUSG00000006519,Cyba
ENSMUSG00000006522,Itih3
ENSMUSG00000006526,Stimate
ENSMUSG00000006527,Sfmbt1
ENSMUSG00000006529,Itih1
ENSMUSG00000006538,Ihh
ENSMUSG00000006567,Atp7b
ENSMUSG00000006574,Slc4a1
ENSMUSG00000006575,Rundc3a
ENSMUSG00000006585,Cdt1
ENSMUSG00000006586,Runx1t1
ENSMUSG00000006589,Aprt
ENSMUSG00000006599,Gtf2h1
